Orphanet	1650
OMIM	1346
GARD-OMIM-Orphanet	1000
GARD-DOID-Orphanet	38
GARD-NCIT-Orphanet	140
OMIM-Orphanet	622
DOID	180
OMIM-DOID	923
GARD	574
GARD-OMIM-DOID-Orphanet	522
NCIT	156
GARD-Orphanet	417
NCIT-DOID	671
GARD-OMIM	348
OMIM-DOID-Orphanet	282
NCIT-Orphanet	144
	118
GARD-NCIT-OMIM-DOID-Orphanet	347
GARD-OMIM-DOID	195
GARD-NCIT-DOID-Orphanet	118
GARD-NCIT-OMIM-DOID	33
NCIT-OMIM	31
NCIT-OMIM-DOID	53
GARD-NCIT-OMIM-Orphanet	148
NCIT-OMIM-Orphanet	31
NCIT-OMIM-DOID-Orphanet	30
GARD-NCIT	62
NCIT-DOID-Orphanet	62
DOID-Orphanet	35
GARD-NCIT-DOID	72
GARD-DOID	34
GARD-NCIT-OMIM	12